City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,79.05,clear sky,-23.1203,-134.9692,People ThankYou
7,Mogadishu,SO,75.61,overcast clouds,2.0371,45.3438,Hotel Juba
12,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
18,Mount Gambier,AU,73.31,scattered clouds,-37.8333,140.7667,The Commodore
19,Busselton,AU,85.95,few clouds,-33.65,115.3333,Observatory Guest House
22,Porto Belo,BR,78.78,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
23,Saint-Philippe,RE,81.99,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
28,Atuona,PF,78.37,scattered clouds,-9.8,-139.0333,Villa Enata
33,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
48,Hobyo,SO,74.57,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
49,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
51,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
53,Lambarene,GA,74.12,broken clouds,-0.7001,10.2406,Le Refuge
58,Saint-Joseph,RE,80.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
61,Axim,GH,78.22,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
64,Puerto Baquerizo Moreno,EC,75.07,broken clouds,-0.9,-89.6,Hotel los Algarrobos
67,Faanui,PF,80.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
68,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
71,Manggar,ID,81.68,overcast clouds,-2.8833,108.2667,Guest Hotel
73,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
74,Presidencia Roque Saenz Pena,AR,72.18,overcast clouds,-26.7852,-60.4388,Hotel Gualok
77,San Matias,BO,74.41,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
81,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
83,Manaus,BR,75.69,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
86,Lorengau,PG,85.05,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
88,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
89,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
91,Cayenne,GF,78.1,mist,4.9333,-52.3333,Hôtel Le Dronmi
93,Butaritari,KI,82.62,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
95,Vila Velha,BR,73.35,mist,-20.3297,-40.2925,Quality Suites Vila Velha
96,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
99,Dingle,PH,79.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
102,Japura,ID,78.6,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
104,La Primavera,CO,85.5,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
106,Antalaha,MG,76.35,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
107,Black River,JM,78.8,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
108,Caramay,PH,79.74,overcast clouds,10.1815,119.236,Peace and Love Beach Club
113,Arraial Do Cabo,BR,75.97,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
116,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
122,Dumai,ID,78.15,overcast clouds,1.6833,101.45,Grand Zuri Dumai
127,Sao Filipe,CV,73.08,clear sky,14.8961,-24.4956,Hotel Xaguate
129,Rabaul,PG,84.74,few clouds,-4.1967,152.1721,Rabaul Hotel
134,Limbang,MY,84.51,overcast clouds,4.75,115.0,Purnama Hotel
144,Alta Floresta,BR,72.81,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
150,Sao Joao Da Barra,BR,76.23,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
153,Bengkulu,ID,74.84,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
154,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
164,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
169,Bafoulabe,ML,76.14,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
171,Palauig,PH,82.4,overcast clouds,15.435,119.9045,Alperi Botique Resort
173,Lazaro Cardenas,MX,73.4,few clouds,17.9583,-102.2,quinta antigua
174,Bosaso,SO,72.01,clear sky,11.2842,49.1816,Red Sea Hotel
176,Wewak,PG,86.41,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
185,Manacapuru,BR,73.98,light rain,-3.2997,-60.6206,Novo Hotel
195,Gorontalo,ID,89.19,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
197,Ugoofaaru,MV,81.16,scattered clouds,5.6667,73.0,Ungoofaaru Inn
