City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,49.66,66,0,12.66,clear sky
1,Rikitea,PF,-23.1203,-134.9692,79.05,68,4,7.18,clear sky
2,Mataura,NZ,-46.1927,168.8643,59.49,37,10,3.56,clear sky
3,Vakhrushev,RU,48.9833,142.9667,16.61,76,100,6.93,overcast clouds
4,Carnarvon,AU,-24.8667,113.6333,100.47,13,11,14.97,few clouds
5,New Norfolk,AU,-42.7826,147.0587,66.76,54,97,1.01,overcast clouds
6,Toora-Khem,RU,52.4675,96.11,-16.67,100,96,2.01,overcast clouds
7,Mogadishu,SO,2.0371,45.3438,75.61,86,88,18.37,overcast clouds
8,Paez,CO,5.1011,-73.0512,67.06,82,90,2.48,overcast clouds
9,Tasiilaq,GL,65.6145,-37.6368,24.96,69,100,42.73,overcast clouds
10,San Cristobal,VE,7.7669,-72.225,71.78,90,57,1.86,broken clouds
11,Colomi,BO,-17.35,-65.8667,52.07,91,100,1.61,overcast clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,75,4.0,broken clouds
13,Albany,US,42.6001,-73.9662,17.64,85,100,1.01,overcast clouds
14,Mahebourg,MU,-20.4081,57.7,79.25,94,75,14.97,broken clouds
15,Nanticoke,US,41.2054,-76.0049,26.46,87,100,5.28,overcast clouds
16,Qaanaaq,GL,77.484,-69.3632,1.17,70,100,6.51,overcast clouds
17,Aksarka,RU,66.5606,67.7975,-1.52,100,85,2.1,overcast clouds
18,Mount Gambier,AU,-37.8333,140.7667,73.31,46,40,12.66,scattered clouds
19,Busselton,AU,-33.65,115.3333,85.95,30,14,6.62,few clouds
20,Oxelosund,SE,58.6706,17.1015,35.53,95,75,3.0,broken clouds
21,Pevek,RU,69.7008,170.3133,-24.09,100,100,5.21,overcast clouds
22,Porto Belo,BR,-27.1578,-48.5531,78.78,90,100,8.1,overcast clouds
23,Saint-Philippe,RE,-21.3585,55.7679,81.99,89,100,25.64,moderate rain
24,Sisimiut,GL,66.9395,-53.6735,4.33,89,100,19.22,light snow
25,Tiksi,RU,71.6872,128.8694,-22.13,98,72,7.34,broken clouds
26,Bethel,US,41.3712,-73.414,31.5,84,100,8.05,overcast clouds
27,Narsaq,GL,60.9167,-46.05,-0.89,53,0,16.4,clear sky
28,Atuona,PF,-9.8,-139.0333,78.37,77,25,15.9,scattered clouds
29,Ilembo,TZ,-9.25,33.3833,54.14,96,100,5.57,light rain
30,Chokurdakh,RU,70.6333,147.9167,-30.32,100,14,1.57,few clouds
31,Barrow,US,71.2906,-156.7887,-20.18,69,100,10.36,overcast clouds
32,Lebu,CL,-37.6167,-73.65,57.97,86,75,18.07,broken clouds
33,Cap Malheureux,MU,-19.9842,57.6142,79.47,82,99,10.0,overcast clouds
34,Chancay,PE,-11.5714,-77.2672,71.47,85,99,6.55,overcast clouds
35,Hobart,AU,-42.8794,147.3294,67.12,78,75,8.05,broken clouds
36,Tokonou,GN,9.65,-9.7833,68.27,19,1,2.37,clear sky
37,Gat,IL,31.61,34.7642,56.08,100,83,11.79,broken clouds
38,Bredasdorp,ZA,-34.5322,20.0403,63.72,68,61,6.91,broken clouds
39,Nome,US,64.5011,-165.4064,5.16,61,0,8.05,clear sky
40,Camalu,MX,30.85,-116.0667,61.43,47,3,3.31,clear sky
41,Zhezkazgan,KZ,47.8043,67.7144,1.38,78,0,17.9,clear sky
42,Nanlong,CN,31.3533,106.0631,47.86,61,100,7.94,overcast clouds
43,San Patricio,US,28.017,-97.5169,43.84,68,6,15.17,clear sky
